# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.remove.entity.ms,1776153333234000000,1776153367116000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1776153333234000000,1776153367116000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1776153333234000000,1776153367116000000,1
jps.global.get.library.ms,1776153333234000000,1776153367116000000,0
workspaceModel.sync.entities.ms,1776153333234000000,1776153367116000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1776153333234000000,1776153367116000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1776153333234000000,1776153367116000000,32
workspaceModel.moduleManagerBridge.build.module.graph.ms,1776153333234000000,1776153367116000000,0
jps.library.entities.serializer.load.entities.ms,1776153333234000000,1776153367116000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1776153333234000000,1776153367116000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1776153333234000000,1776153367116000000,27
jps.load.initial.state.ms,1776153333234000000,1776153367116000000,346
workspaceModel.mutableEntityStorage.resolve.ms,1776153333234000000,1776153367116000000,0
jps.app.storage.content.reader.load.component.ms,1776153333234000000,1776153367116000000,111
jps.global.handle.changed.events.ms,1776153333234000000,1776153367116000000,2
workspaceModel.mutableEntityStorage.add.entity.ms,1776153333234000000,1776153367116000000,35
workspaceModel.mutableEntityStorage.referrers.ms,1776153333234000000,1776153367116000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1776153333234000000,1776153367116000000,2
workspaceModel.global.updates.count,1776153333234000000,1776153367116000000,1
jps.global.initialize.library.bridges.after.loading.ms,1776153333234000000,1776153367116000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1776153333234000000,1776153367116000000,0
workspaceModel.global.apply.state.to.project.ms,1776153333234000000,1776153367116000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1776153333234000000,1776153367116000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1776153333234000000,1776153367116000000,0
jps.global.get.libraries.ms,1776153333234000000,1776153367116000000,0
workspaceModel.load.cache.metadata.from.file.ms,1776153333234000000,1776153367116000000,14
workspaceModel.load.cache.from.file.ms,1776153333234000000,1776153367116000000,213
jps.global.initialize.library.bridges.ms,1776153333234000000,1776153367116000000,2
workspaceModel.mutableEntityStorage.instances.count,1776153333234000000,1776153367116000000,4
workspaceModel.do.save.caches.ms,1776153333234000000,1776153367116000000,0
workspaceModel.save.cache.to.file.ms,1776153333234000000,1776153367116000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1776153333234000000,1776153367116000000,0
jps.library.entities.serializer.save.entities.ms,1776153333234000000,1776153367116000000,0
jps.global.get.library.by.name.ms,1776153333234000000,1776153367116000000,0
workspaceModel.mutableEntityStorage.entities.ms,1776153333234000000,1776153367116000000,3
workspaceModel.moduleManagerBridge.load.module.ms,1776153333234000000,1776153367116000000,0
jps.global.handle.before.change.events.ms,1776153333234000000,1776153367116000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1776153333234000000,1776153367116000000,13
workspaceModel.mutableEntityStorage.collect.changes.ms,1776153333234000000,1776153367116000000,7
workspaceModel.global.apply.state.to.project.builder.ms,1776153333234000000,1776153367116000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1776153333234000000,1776153367116000000,0
workspaceModel.global.updates.ms,1776153333234000000,1776153367116000000,44
jps.save.global.entities.ms,1776153333234000000,1776153367116000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1776153333234000000,1776153367116000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1776153333234000000,1776153367116000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1776153333234000000,1776153367116000000,0
workspaceModel.cachedValue.clear.ms,1776153333234000000,1776153367116000000,0
workspaceModel.updates.ms,1776153333234000000,1776153367116000000,0
workspaceModel.loading.from.cache.ms,1776153333234000000,1776153367116000000,136
workspaceModel.init.bridges.ms,1776153333234000000,1776153367116000000,0
workspaceModel.initializing.ms,1776153333234000000,1776153367116000000,0
workspaceModel.cachedValue.calculated.ms,1776153333234000000,1776153367116000000,28
workspaceModel.full.replace.project.model.ms,1776153333234000000,1776153367116000000,0
workspaceModel.pre.handlers.ms,1776153333234000000,1776153367116000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1776153333234000000,1776153367116000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1776153333234000000,1776153367116000000,5
